sample_id,aligner_name,variant_type,FN,FP,TP,Precision,Recall,F1-Score,organism,dataset
baruzzo_malaria_t2r2,STAR,deletion,363,2463,4870,0.6641210964133827,0.9306325243644313,0.775107432268894,Malaria,T2
baruzzo_malaria_t2r2,STAR,insertion,520,3742,5341,0.5880215787734682,0.9112779389181178,0.7148019267180078,Malaria,T2
baruzzo_malaria_t2r2,Subjunc,deletion,2021,231,3212,0.9329073482425405,0.6137970571372799,0.7404333789586411,Malaria,T2
baruzzo_malaria_t2r2,Subjunc,insertion,1828,275,4033,0.9361652739087891,0.6881078314279665,0.7931950039367194,Malaria,T2
baruzzo_malaria_t2r2,novoSplice,deletion,904,1560,4329,0.7350993377482195,0.8272501433210725,0.7784571115318097,Malaria,T2
baruzzo_malaria_t2r2,novoSplice,insertion,837,1211,5024,0.8057738572572886,0.8571916055279206,0.8306878301881714,Malaria,T2
baruzzo_malaria_t2r3,DRAGEN,deletion,223,2409,5020,0.6757302463318514,0.9574670989889457,0.7922979793127339,Malaria,T2
baruzzo_malaria_t2r3,DRAGEN,insertion,258,1701,5600,0.7670182166825411,0.9559576647318272,0.8511285047114457,Malaria,T2
baruzzo_malaria_t2r3,DeepSAP,deletion,198,2565,5045,0.6629434954007013,0.9622353614341097,0.7850307316416308,Malaria,T2
baruzzo_malaria_t2r3,DeepSAP,insertion,289,1861,5569,0.7495289367428332,0.9506657562306331,0.8381998790974795,Malaria,T2
baruzzo_malaria_t2r3,HISAT2,deletion,652,2164,4591,0.6796447076238816,0.8756437154299301,0.7652942152104301,Malaria,T2
baruzzo_malaria_t2r3,HISAT2,insertion,732,1537,5126,0.7693231277201307,0.8750426766813119,0.8187844416391455,Malaria,T2
baruzzo_malaria_t2r3,STAR,deletion,338,2536,4905,0.6591855933341406,0.9355330917411909,0.7734153259103514,Malaria,T2
baruzzo_malaria_t2r3,STAR,insertion,478,3594,5380,0.5995096946734344,0.918402185045934,0.725458467698885,Malaria,T2
baruzzo_malaria_t2r3,Subjunc,deletion,1958,269,3285,0.9243106359029476,0.626549685294559,0.746845515034915,Malaria,T2
baruzzo_malaria_t2r3,Subjunc,insertion,1820,267,4038,0.9379790940764371,0.6893137589619854,0.7946472493393256,Malaria,T2
baruzzo_malaria_t2r3,novoSplice,deletion,903,1561,4340,0.7354685646499346,0.8277703604804829,0.7788944718634123,Malaria,T2
baruzzo_malaria_t2r3,novoSplice,insertion,818,1132,5040,0.8165910563835358,0.8603618982586445,0.8379052364079318,Malaria,T2
baruzzo_malaria_t3r1,DRAGEN,deletion,1465,5562,11779,0.6792572516002146,0.8893838719419443,0.7702468525414538,Malaria,T3
baruzzo_malaria_t3r1,DRAGEN,insertion,2184,4783,13293,0.7353949988935198,0.8588873812753854,0.792358357920978,Malaria,T3
baruzzo_malaria_t3r1,DeepSAP,deletion,1377,6429,11867,0.6486117184083598,0.8960283902143691,0.7525047553783484,Malaria,T3
baruzzo_malaria_t3r1,DeepSAP,insertion,2299,5919,13178,0.6900560297428554,0.851457000710677,0.7623069353531841,Malaria,T3
baruzzo_malaria_t3r1,HISAT2,deletion,13196,4,48,0.9230769230591717,0.0036242826940498622,0.007220216598705798,Malaria,T3
baruzzo_malaria_t3r1,HISAT2,insertion,15424,8,53,0.86885245900215,0.0034244362602569344,0.006821984803608271,Malaria,T3
baruzzo_malaria_t3r1,STAR,deletion,2957,5062,10287,0.6702065281125369,0.7767290848685611,0.7195467417122913,Malaria,T3
baruzzo_malaria_t3r1,STAR,insertion,4550,6068,10927,0.6429538099440634,0.7060153776571231,0.6730105932433522,Malaria,T3
baruzzo_malaria_t3r1,Subjunc,deletion,9931,489,3313,0.8713834823774668,0.25015101177889987,0.38871289417407284,Malaria,T3
baruzzo_malaria_t3r1,Subjunc,insertion,10679,628,4798,0.8842609657204414,0.3100083995606183,0.45907285997053254,Malaria,T3
baruzzo_malaria_t3r1,novoSplice,deletion,2819,4585,10425,0.6945369753497205,0.7871488976139545,0.7379486085484077,Malaria,T3
baruzzo_malaria_t3r1,novoSplice,insertion,3465,3391,12012,0.779848081542506,0.7761194029850245,0.7779792741113514,Malaria,T3
baruzzo_malaria_t3r2,DRAGEN,deletion,1447,5702,11953,0.6770320022656088,0.8920149253730677,0.769795523579535,Malaria,T3
baruzzo_malaria_t3r2,DRAGEN,insertion,2221,4697,12895,0.7330036380172389,0.8530695951309306,0.7884921115243407,Malaria,T3
baruzzo_malaria_t3r2,DeepSAP,deletion,1387,6544,12013,0.6473567925849735,0.8964925373133659,0.751822761349191,Malaria,T3
baruzzo_malaria_t3r2,DeepSAP,insertion,2298,5722,12818,0.6913700107874492,0.847975654935112,0.7617066788490804,Malaria,T3
baruzzo_malaria_t3r2,HISAT2,deletion,13349,6,51,0.894736842089566,0.0038059701492534474,0.00757969828984675,Malaria,T3
baruzzo_malaria_t3r2,HISAT2,insertion,15074,14,42,0.7499999999866072,0.002778512834082907,0.00553651462486174,Malaria,T3
baruzzo_malaria_t3r2,STAR,deletion,2972,5132,10428,0.6701799485860752,0.7782089552238225,0.7201657453590854,Malaria,T3
baruzzo_malaria_t3r2,STAR,insertion,4387,6000,10729,0.6413413832266937,0.7097777189732264,0.6738263458664469,Malaria,T3
baruzzo_malaria_t3r2,Subjunc,deletion,9906,507,3494,0.8732816795798867,0.260746268656697,0.4015861153863049,Malaria,T3
baruzzo_malaria_t3r2,Subjunc,insertion,10557,558,4559,0.8909517295288467,0.3016009526329517,0.450649927956967,Malaria,T3
baruzzo_malaria_t3r2,novoSplice,deletion,2848,4753,10552,0.6894478928454303,0.7874626865671054,0.7352029258216074,Malaria,T3
baruzzo_malaria_t3r2,novoSplice,insertion,3488,3412,11628,0.773138297872289,0.7692511246360962,0.7711898124724949,Malaria,T3
baruzzo_malaria_t3r3,DRAGEN,deletion,1506,5533,11904,0.6826862418993701,0.8876957494406497,0.7718092516237498,Malaria,T3
baruzzo_malaria_t3r3,DRAGEN,insertion,2242,4700,13023,0.734807876770257,0.853128070750026,0.7895598394445251,Malaria,T3
baruzzo_malaria_t3r3,DeepSAP,deletion,1411,6371,11999,0.6531845400108517,0.8947800149141764,0.7551290114693376,Malaria,T3
baruzzo_malaria_t3r3,DeepSAP,insertion,2227,5737,13038,0.6944340878827859,0.8541107107762297,0.7660399525017461,Malaria,T3
baruzzo_malaria_t3r3,HISAT2,deletion,13350,4,60,0.9374999999853515,0.0044742729306484355,0.008906041255201884,Malaria,T3
baruzzo_malaria_t3r3,HISAT2,insertion,15215,22,50,0.6944444444347994,0.0032754667540122323,0.006520179947620981,Malaria,T3
